budget,casting,director,distributor,duration,entries,film_id,genres,img_src,nationality,release,synopsis,title
,Raphaël Personnaz|Doria Tillier|Jeanne Balibar|Emmanuelle Devos|Vincent Perez|Sophie Guillemin|Anne Alvaro|Alexandre Tharaud,Anne Fontaine,SND,120,177724,286292,Biopic,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/26/11/07/0253122.jpg,France,2024-03-06,"En 1928, alors que Paris vit au rythme des années folles, la danseuse Ida Rubinstein commande à Maurice Ravel la musique de son prochain ballet. Tétanisé et en panne d’inspiration, le compositeur feuillette les pages de sa vie - les échecs de ses débuts, la fracture de la Grande Guerre, l’amour impossible qu’il éprouve pour sa muse Misia Sert… Ravel va alors plonger au plus profond de lui-même pour créer son oeuvre universelle, le Bolero.",Bolero
,Patrick Timsit|Valérie Bonneton|Saaden Sada Balius|Sébastien Chassagne|Jules Garreau|Karim Barras|Mélanie Doutey|Samir Guesmi,Philippe Pollet-Villard,Zinc Film,89,78789,317900,Comédie dramatique,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/10/11/17/1203183.jpg,France,2024-02-28,"Lorsque son chalutier tombe en panne, Stan, vieux marin bourru, peine à trouver sa place sur la terre ferme. Françoise, sa femme, et ses deux fils gendarmes, ont l’habitude de son mauvais caractère et de ses petites embrouilles, mais ses ennuis prennent une autre ampleur quand il rentre à la maison avec Bahman, 10 ans, trouvé dans un carton volé...",Tombés du camion
,Sydney Sweeney|Álvaro Morte|Simona Tabasco|Benedetta Porcaroli|Giorgio Colangeli|Dora Romano|Giampero Judica|Niccolo Senni,Michael Mohan,Metropolitan FilmExport,89,129796,313597,Epouvante-horreur|Thriller,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/01/12/20/4413094.jpg,U.S.A.|Italie,2024-03-20,"Cecilia, une jeune religieuse américaine, s’installe dans un couvent isolé de la campagne italienne. L’accueil est chaleureux, mais rapidement Cecilia comprend que sa nouvelle demeure abrite un sinistre secret et que des choses terribles s’y produisent…",Immaculée
,Anthony Hopkins|Johnny Flynn|Helena Bonham Carter|Lena Olin|Romola Garai|Alex Sharp (II)|Marthe Keller|Jonathan Pryce,James Hawes,SND,109,456390,286437,Biopic|Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/29/09/23/3346514.jpg,Grande-Bretagne,2024-02-21,"Prague, 1938. Alors que la ville est sur le point de tomber aux mains des nazis, un banquier londonien va tout mettre en œuvre pour sauver des centaines d’enfants promis à une mort certaine dans les camps de concentration. Au péril de sa vie, Nicholas Winton va organiser des convois vers l’Angleterre, où 669 enfants juifs trouveront refuge. ",Une vie
,François Civil|Shaïn Boumedine|Bakary Kebe|Toscane Duquesne|Luna Ho Poumey|Marianna Ehouman|Mallory Wanecque|Emma Boumali,Teddy Lussi-Modeste,Ad Vitam,92,170817,306254,Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/13/10/33/0660848.jpg,France,2024-03-27,"Julien est professeur au collège. Jeune et volontaire, il essaie de créer du lien avec sa classe en prenant sous son aile quelques élèves, dont la timide Leslie.",Pas de vagues
,Kingsley Ben-Adir|Lashana Lynch|James Norton|Tosin Cole|Umi Myers|Anthony Welsh (II)|Nia Ashi|Aston Barrett Jr.,Reinaldo Marcus Green,Paramount Pictures France,107,772865,290882,Biopic|Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/18/11/59/2019347.jpg,U.S.A.,2024-02-14,Bob Marley: One Love célèbre la vie et la musique d'une icône qui a inspiré des générations à travers son message d'amour et d'unité.,Bob Marley: One Love
,Karin Viard|Ana Girardot|Cédric Kahn|Noémie Lvovsky|Robin Renucci|Cyrille Mairesse|Antoine Prud'homme de La Boussinière|Alain Libolt,Isabelle Brocard,Orange Studio Distribution / Ad Vitam,92,112650,288971,Drame|Historique,https://fr.web.img4.acsta.net/c_310_420/pictures/23/12/14/13/49/0960038.jpg,France,2024-02-28,"Milieu du XVIIème siècle, la marquise de Sévigné veut faire de sa fille une femme brillante et indépendante, à son image. Mais plus elle tente d’avoir une emprise sur le destin de la jeune femme, plus celle-ci se rebelle. Mère et fille expérimentent alors les tourments d’une relation fusionnelle et dévastatrice. De ce ravage, va naître une œuvre majeure de la littérature française.",Madame de Sévigné
,Kev Adams|Jean Reno|Daniel Prévost|Liliane Rovère|Firmine Richard|Michel Jonasz|Enrico Macias|Amanda Lear,Claude Zidi Jr.,Apollo Films,102,526067,313914,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/28/14/21/0273666.jpg,France,2024-02-14,"Quand le foyer Lino Vartan - qui accueille jeunes orphelins et seniors- doit fermer pour raisons sanitaires, Milann n’a pas d’autre choix que de répondre à l’invitation d’une maison de retraite dans le Sud qui les accueille pour l’été. Tous embarquent dans le bus d’Alban. Enfants et anciens découvrent alors le Bel Azur Club, une villa idyllique au bord de la mer : le rêve ! Une aubaine pour ces gamins orphelins qui n’ont jamais eu de vacances... Mais le paradis tourne à l’enfer car anciens et nouveaux pensionnaires du 3e âge se détestent ! La guerre des seniors est déclarée !",Maison de retraite 2
,Audrey Lamy|Fabrice Eboué|Anouk Grinberg|Pauline Clément|Louise Coldefy|Sami Outalbali|Victor Meutelet|Mathieu Lourdel,Maxime Govare|Romain Choay,Warner Bros. France,103,136628,316138,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/17/11/50/4118109.jpg,France,2024-03-13,"1 chance sur 19 millions. Plus de probabilité d’être frappé par une météorite que de gagner au loto. Pour nos heureux gagnants, le rêve va rapidement se transformer en cauchemar, et leur vie va voler en éclat dans un spectaculaire feu d’artifices de comédie noire et de sensations fortes.",Heureux gagnants
,Leonie Benesch|Michael Klammer|Rafael Stachowiak|Anne-Kathrin Gummich|Eva Löbau|Kathrin Wehlisch|Sarah Bauerett|Leo Stettnisch,İlker Çatak,Tandem,99,90612,294240,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/31/10/38/5852912.jpg,Allemagne,2024-03-06,"Alors qu'une série de vols a lieu en salle des profs, Carla Nowak mène l'enquête dans le collège où elle enseigne. Très vite, tout l'établissement est ébranlé par ses découvertes.",La Salle des profs
,Natsuki Hanae|Kengo Kawanishi|Akari Kito|Yoshitsugu Matsuoka|Hiro Shimono|Toshio Furukawa|Hiro Shimono|Kana Hanazawa,Haruo Sotozaki,Sony Pictures Releasing France,104,151200,325052,Action|Animation|Drame|Fantastique|Historique,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/24/16/15/5524694.jpg,Japon,2024-02-24,"Avec Demon Slayer: Kimetsu no Yaiba — En route vers l'entraînement des piliers, découvrez pour la première fois sur grand écran l'épisode 11 du Village des forgerons et sa conclusion du combat épique entre Tanjirô et la quatrième lune supérieure, Hantengu, sans oublier l'exploit retentissant de Nezuko, qui triomphe du soleil. Il sera suivi du premier épisode de L'Entraînement des piliers, lui aussi dévoilé pour la toute première fois en France, qui montrera les prémices d'une instruction spéciale sous l'égide des piliers en prévision de l'ultime bataille contre Kibutsuji Muzan.",Demon Slayer: Kimetsu No Yaiba – En route vers l'entraînement des piliers
,Anaïs Demoustier|Gilles Lellouche|Edouard Baer|Jonathan Cohen|Pio Marmaï|Didier Flamand|Romain Duris|Agnès Hurstel,Quentin Dupieux,Diaphana Distribution,78,209546,310162,Comédie|Comédie dramatique|Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/21/11/34/3008933.jpg,France,2024-02-07,Une journaliste française rencontre Salvador Dali à plusieurs reprises pour un projet de documentaire.,Daaaaaali !
,Cillian Murphy|Sally Hawkins|Raffey Cassidy|Ken Watanabe|Aaron MacGregor|Emmylou Homs,Neil Boyle|Kirk Hendry,Le Pacte,84,72554,316881,Aventure|Animation,https://fr.web.img3.acsta.net/c_310_420/pictures/23/10/06/09/10/3585927.jpg,Grande-Bretagne|Luxembourg|France,2024-02-07,"L’incroyable histoire de Michael, 11 ans, parti faire un tour du monde à la voile avec ses parents, avant qu’une terrible tempête ne le propulse par-dessus bord avec sa chienne Stella. Échoués sur une île déserte, comment survivre ? Un mystérieux inconnu vient alors à leur secours en leur offrant à boire et à manger. C’est Kensuké, un ancien soldat japonais vivant seul sur l’île avec ses amis les orangs-outans depuis la guerre. Il ouvre à Michael les portes de son royaume et lorsque des trafiquants de singes tentent d’envahir l’île, c’est ensemble qu’ils uniront leurs forces pour sauver ce paradis...",Le Royaume de Kensuke
,Dakota Johnson|Sydney Sweeney|Isabela Merced|Celeste O’Connor|Tahar Rahim|Mike Epps|Emma Roberts|Adam Scott,S.J. Clarkson,Sony Pictures Releasing France,117,207894,277610,Action|Fantastique,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/11/09/49/2179240.jpg,U.S.A.,2024-02-14,"Cassandra Web est une ambulancière de Manhattan qui serait capable de voir dans le futur. Forcée de faire face à des révélations sur son passé, elle noue une relation avec trois jeunes femmes destinées à un avenir hors du commun... si toutefois elles parviennent à survivre à un présent mortel.",Madame Web
,Christian Friedel|Sandra Hüller|Johann Karthaus|Luis Noah Witte|Nele Ahrensmeier|Lilli Falk|Anastazja Drobniak|Cecylia Pękala,Jonathan Glazer,Bac Films,105,239108,266159,Drame|Historique|Guerre,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/12/14/37/2282076.jpg,U.S.A.|Grande-Bretagne|Pologne,2024-01-31,"Le commandant d’Auschwitz, Rudolf Höss, et sa femme Hedwig s’efforcent de construire une vie de rêve pour leur famille dans une maison avec jardin à côté du camp.",La Zone d'intérêt
,Bryce Dallas Howard|Sam Rockwell|Henry Cavill|John Cena|Ariana DeBose|Richard E. Grant|Dua Lipa|Bryan Cranston,Matthew Vaughn,Universal Pictures International France,140,219098,294414,Action|Espionnage|Thriller,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/22/11/34/5834555.jpg,Grande-Bretagne,2024-01-31,"Elly Conway est l'auteure solitaire d’une série de romans d’espionnage à succès, dont l’idée du bonheur se résume à une soirée tranquille à la maison avec son ordinateur et son chat, Alfie. Mais lorsque les intrigues de ses livres, centrés sur l'agent secret Argylle et son combat pour démanteler un réseau d'espions mondial, commencent à ressembler étrangement aux opérations secrètes d'une véritable organisation d'espions, sa tranquillité ne devient plus qu’un souvenir. Aux côtés d’Aidan, un espion pourtant allergique aux chats, Elly n’hésite pas à embarquer Alfie dans son sac à dos pour mieux se lancer dans une course contre la montre aux quatre coins de la planète afin de distancer de dangereux tueurs et empêcher ses fictions de dépasser la réalité.",Argylle
,Dany Boon|Jérôme Commandeur|Claire Chust|Alexandre Desrousseaux|Grégory Gadebois|Marie-Anne Chazel|Sophie-Marie Larrouy|Fatsah Bouyahmed,Fred Cavayé,Pathé,100,108258,310119,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/19/11/05/0933238.jpg,France,2024-02-21,"Saviez-vous qu’au 17e siècle, les animaux pouvaient être jugés pour avoir commis un crime ?",Les Chèvres !
,Yvan Attal|Maïwenn|Guillaume Canet|Marie-Josée Croze|Alma Jodorowsky|Victor Belmondo|Michaël Erpelding|Loan Visioli,Yvan Attal,SND,85,221196,310434,Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/29/12/09/1178872.jpg,France,2024-01-24,"Mathieu doit tout à son ami Vincent : sa maison, son travail, et même de lui avoir sauvé la vie il y a dix ans. Ils forment, avec leurs compagnes, un quatuor inséparable, et vivent une vie sans nuage sur la côte d’Azur. Mais la loyauté de Mathieu est mise à l’épreuve lorsqu’il découvre que Vincent trompe sa femme. Quand la maîtresse de Vincent est retrouvée morte, la suspicion s’installe au cœur des deux couples, accompagnée de son cortège de lâchetés, de mensonges, et de culpabilité...",Un coup de dés
,Franck Dubosc|Reem Kherici|Philippe Lacheau|Raphaelle Fugère-Larocque|Oscar Desagnes|Lenie Scoffié|Inès Reg|Artus,Reem Kherici,Gaumont Distribution,86,314952,300795,Aventure|Animation|Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/12/28/12/07/0969555.jpg,France,2024-02-14,"Diva, célèbre chat star des réseaux sociaux et Chichi, chien des rues, perdent leur maître respectif. Commence alors un voyage déjanté entre Montréal et New York avec d’un côté les humains qui ont perdu la trace de leurs animaux et de l’autre, les animaux livrés à eux-mêmes pour retrouver leurs maîtres…",Chien et Chat
,Andrew Scott|Paul Mescal|Jamie Bell|Claire Foy|Carter John Grout|Ami Tredrea,Andrew Haigh,The Walt Disney Company France,105,74540,305976,Drame|Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/27/15/30/0426597.jpg,Grande-Bretagne|U.S.A.,2024-02-14,"A Londres, Adam vit dans une tour où la plupart des appartements sont inoccupés. Une nuit, la monotonie de son quotidien est interrompue par sa rencontre avec un mystérieux voisin, Harry. Alors que les deux hommes se rapprochent, Adam est assailli par des souvenirs de son passé et retourne dans la ville de banlieue où il a grandi. Arrivé devant sa maison d'enfance, il découvre que ses parents occupent les lieux, et semblent avoir le même âge que le jour de leur mort, il y a plus de 30 ans.",Sans jamais nous connaître
,D’Jal|Grégoire Bonnet|Aurélie Boquien|Sarah Perles|Serge Da Silva|Éric Da Costa|José Da Silva|Bruno Sanches,Frank Cimière,Sony Pictures Releasing France,94,122868,317674,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/14/17/05/0755513.jpg,France,2024-02-07,"Hakim alias Joaquim, notre policier maladroit et gaffeur, est de retour ! Il doit déjouer les plans d'un promoteur véreux : le comte de Neuville. Avec ses amis, il infiltre le Château du Comte mais doit en plus préparer son mariage avec Julia, à qui il a caché sa mission. Rien ne se passe comme prévu et Hakim et sa bande de pieds nickelés, dépassés, vont aller de catastrophes en catastrophes. Il va alors entrer dans une course folle pour réussir sa mission et sauver son couple.",Opération Portugal 2: la vie de château
,Christian Clavier|Marianne Denicourt|Didier Bourdon|Sylvie Testud|Julien Pestel|Chloé Coulloud|Patrick Prejean,Julien Hervé,SND,91,584706,303455,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/23/11/27/11/08/3575019.jpg,France,2024-02-07,"Sur le point de se marier, Alice et François décident de réunir leurs deux familles. Pour l’occasion, ils réservent à leurs parents un cadeau original : des tests ADN pour que chacun puisse découvrir les origines de ses ancêtres. Mais la surprise va virer au fiasco quand les Bouvier-Sauvage, grande famille aristocrate, et les Martin, beaucoup plus modestes, découvrent les résultats, pour le moins… inattendus !",Cocorico
,Lumi Pollack|Emily Bett Rickards|Wayne Charles Baker|Paul Greene|Kelly Hope Taylor|Lucrezia Pini|Airam Camacho,Gilles de Maistre,StudioCanal,100,222380,295617,Aventure|Famille,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/28/11/27/1028805.jpg,France,2024-02-07,"Autumn grandit dans la forêt amazonienne aux côtes de Hope, un adorable bébé jaguar femelle qu’elle a recueilli. Mais l’année de ses six ans, un drame familial contraint Autumn et son père à retourner vivre à New York. Huit années passent, et Autumn, devenue adolescente, n’a jamais oublié son amie jaguar. Quand elle apprend que Hope est en danger de mort, Autumn décide de retourner dans la jungle pour la sauver !",Le Dernier Jaguar
,Cécile de France|Vincent Macaigne|Stacy Martin|Anouk Grinberg|André Marcon|Grégoire Leprince-Ringuet|Hélène Alexandridis|Peter Van den Begin,Martin Provost,Memento Distribution,122,146114,307371,Biopic|Historique|Romance,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/21/15/23/2282161.jpg,France,2024-01-10,Pierre Bonnard ne serait pas le peintre que tout le monde connaît sans l’énigmatique Marthe qui occupe à elle seule presque un tiers de son œuvre…,"Bonnard, Pierre et Marthe"
,Stephen Fry|Marion Cotillard|Daisy Ridley|Gauthier Battoue|Matt Berry|Natalie Palamides|Jim Capobianco|Ben Stranahan|André Dussollier|Marion Cotillard|Juliette Armanet|Gauthier Battoue|Philippe Allard,Jim Capobianco|Pierre-Luc Granjon,KMBO,97,87482,284744,Aventure|Animation|Famille,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/07/16/21/1931517.jpg,Irlande|U.S.A.,2024-01-31,"Bienvenue dans la Renaissance ! Une époque où artistes, savants, rois et reines inventent un monde nouveau. Parmi eux, un curieux personnage passe ses journées à dessiner d’étranges machines et à explorer les idées les plus folles. Observer la lune, voler comme un oiseau, découvrir les secrets de la médecine… il rêve de changer le monde. Embarquez pour un voyage avec le plus grand des génies, Léonard de Vinci !","Léo, la fabuleuse histoire de Léonard de Vinci"
,Sydney Sweeney|Glen Powell|Alexandra Shipp|GaTa|Hadley Robinson|Michelle Hurd|Dermot Mulroney|Darren Barnet,Will Gluck,Sony Pictures Entertainment France,104,99314,187945,Comédie|Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/27/10/24/1875743.jpg,U.S.A.,2024-01-24,"Bea et Ben ont tout du couple parfait, mais après un premier rendez-vous idéal, un incident refroidit leur attirance réciproque jusqu'à leurs retrouvailles inattendues lors d'un mariage en Australie. Ils font alors ce que n'importe quel adulte mature ferait dans cette situation : prétendre être en couple.",Tout sauf toi
,Emma Stone|Mark Ruffalo|Willem Dafoe|Ramy Youssef|Christopher Abbott|Suzy Bemba|Jerrod Carmichael|Kathryn Hunter,Yorgos Lanthimos,The Walt Disney Company France,141,186568,290065,Comédie|Drame|Fantastique|Romance|Science Fiction,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/28/11/03/2973866.jpg,Irlande|Grande-Bretagne|U.S.A.,2024-01-17,"Bella est une jeune femme ramenée à la vie par le brillant et peu orthodoxe Dr Godwin Baxter. Sous sa protection, elle a soif d’apprendre. Avide de découvrir le monde dont elle ignore tout, elle s'enfuit avec Duncan Wedderburn, un avocat habile et débauché, et embarque pour une odyssée étourdissante à travers les continents. Imperméable aux préjugés de son époque, Bella est résolue à ne rien céder sur les principes d’égalité et de libération.",Pauvres Créatures
,Ahmed Sylla|Mallory Wanecque|Julia Piaton|Habib Dembélé|Igor Gotesman|Malika Azgag|Antoine Gouy|Olivier Rosemberg,Ali Marhyar,Apollo Films / Orange Studio,90,119238,309050,Comédie dramatique,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/09/14/15/0517030.jpg,France,2024-01-17,"Souleyman, 27 ans, champion de boxe en pleine préparation des J.O. avec l’Équipe de France, voit son avenir s’écrouler lorsqu’il se fissure les os de la main, suite à une bagarre dans un bar. Souleyman se fait exclure de l’équipe et est envoyé au Château de Chambord, où il doit effectuer ses 400 heures de travaux d’intérêt général (T.I.G.) à ramasser les déchets dans les jardins. D’abord insensible au lieu, Souleyman finit par s’intéresser au château, à ceux qui y travaillent, et notamment à Eddy, la responsable événementiel, qui va l’embarquer dans un autre univers. Mais sa rencontre avec Mélissa, une jeune ado au talent exceptionnel pour la boxe, va remettre en question ses projets…",Comme un prince
,Ichem Bougheraba|Emma Smet|Arriles Amrani|Charly Nyobe|Anthony Pinheiro|Kader Bueno|Walid Ben Amar|Lahcène Amari,Ali Boughéraba|Hakim Boughéraba,Apollo Films,102,344268,316875,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/23/10/24/15/24/3478223.jpg,France,2023-12-27,"Les Segpa se retrouvent pour une nouvelle année scolaire riche en aventures, propulsés directement en Terminale. Deux challenges majeurs les attendent : la réussite de leur bac et leur participation soudaine aux Olympiades d’hiver inter-lycées.",Les SEGPA au ski
